device_number,epoch_time_utc,active_seconds,device_coherence,significance
337,1775015159,3600,50.3514,Normal
337,1775015219,3600,35.4384,Normal
337,1775015279,3600,40.9636,Normal
337,1775015339,3600,40.0533,Normal
337,1775015399,3600,40.4711,Normal
337,1775015459,3600,14.7513,Normal
337,1775015519,3600,8.3441,Normal
337,1775015579,3600,12.5764,Normal
337,1775015639,3600,8.8908,Normal
337,1775015699,3600,2.1179,Normal
337,1775015759,3600,5.7067,Normal
337,1775015819,3600,64.5158,Normal
337,1775015879,3600,60.3596,Normal
337,1775015939,3600,64.8279,Normal
337,1775015999,3600,82.8733,Normal
337,1775016059,3600,107.6775,Normal
337,1775016119,3600,133.7088,Normal
337,1775016179,3600,96.1114,Normal
337,1775016239,3600,112.314,Normal
337,1775016299,3600,94.3334,Normal
337,1775016359,3600,122.1877,Normal
337,1775016419,3600,111.369,Normal
337,1775016479,3600,130.51,Normal
337,1775016539,3600,92.3345,Normal
337,1775016599,3600,49.1449,Normal
337,1775016659,3600,70.6347,Normal
337,1775016719,3600,108.8412,Normal
337,1775016779,3600,95.9957,Normal
337,1775016839,3600,85.1378,Normal
337,1775016899,3600,67.1475,Normal
337,1775016959,3600,75.8788,Normal
337,1775017019,3600,113.1567,Normal
337,1775017079,3600,159.9871,Normal
337,1775017139,3600,136.8202,Normal
337,1775017199,3600,96.4876,Normal
337,1775017259,3600,74.9824,Normal
337,1775017319,3600,60.9222,Normal
337,1775017379,3600,38.9836,Normal
337,1775017439,3600,66.7187,Normal
337,1775017499,3600,113.2758,Normal
337,1775017559,3600,102.3316,Normal
337,1775017619,3600,71.3815,Normal
337,1775017679,3600,47.6445,Normal
337,1775017739,3600,88.7936,Normal
337,1775017799,3600,113.47,Normal
337,1775017859,3600,80.3754,Normal
337,1775017919,3600,96.6509,Normal
337,1775017979,3600,117.9208,Normal
337,1775018039,3600,101.6902,Normal
337,1775018099,3600,107.6704,Normal
337,1775018159,3600,87.104,Normal
337,1775018219,3600,131.4358,Normal
337,1775018279,3600,114.4112,Normal
337,1775018339,3600,125.5979,Normal
337,1775018399,3600,105.2081,Normal
337,1775018459,3600,123.9433,Normal
337,1775018519,3600,130.6465,Normal
337,1775018579,3600,118.2421,Normal
337,1775018639,3600,130.1805,Normal
337,1775018699,3600,105.3512,Normal
337,1775018759,3600,147.9889,Normal
337,1775018819,3600,179.7277,Normal
337,1775018879,3600,194.3219,Normal
337,1775018939,3600,215.6127,Normal
337,1775018999,3600,187.5456,Normal
337,1775019059,3600,199.675,Normal
337,1775019119,3600,156.0855,Normal
337,1775019179,3600,155.1854,Normal
337,1775019239,3600,205.819,Normal
337,1775019299,3600,213.0652,Normal
337,1775019359,3600,214.6176,Normal
337,1775019419,3600,160.9846,Normal
337,1775019479,3600,145.7835,Normal
337,1775019539,3600,183.9366,Normal
337,1775019599,3600,157.054,Normal
337,1775019659,3600,182.9891,Normal
337,1775019719,3600,166.1059,Normal
337,1775019779,3600,152.8276,Normal
